ID,Title,Studio,Status,Sound,Versions,RecRetPrice,Rating,Year,Genre,Aspect,Rank
161,Camelot: Special Edition,Warner Brothers,Out,5.1,"LBX, 16:9",24.98,G,1967,Musical,2.35:1,741
162,Campus Comedy Classics: Collector's Edition,Universal,Out,VAR,"LBX, 16:9",84.98,R,1973,Comedy,1.85:1,1295
163,Candidate,Warner Brothers,Out,2,4:03,19.98,PG,1972,Drama,1.33:1,1763
164,Cannonball Run 2,Warner Brothers,Out,2,4:03,14.98,PG,1984,Comedy,1.33:1,2242
165,Career Opportunities,Universal,Out,SUR,LBX,24.98,PG-13,1991,Comedy,2.35:1,149
166,Carlito's Way,Universal,Out,5.1,LBX,26.98,R,1993,Drama,2.35:1,900
167,Carnal Knowledge (MGM/UA),MGM/UA,Out,2,"4:3, LBX",29.95,R,1971,Drama,1.85:1,1766
168,Carrie,MGM/UA,Discontinued,5.1,LBX,19.98,R,1976,Horror,2.35:1,1523
169,Casablanca: Special Edition,MGM/UA,Discontinued,1,4:03,24.98,NR,1942,Drama,1.33:1,2280
170,Casablanca: Special Edition (Warner),Warner Brothers,Out,1,4:03,24.98,NR,1942,Drama,1.33:1,1438
171,Casino,Universal,Out,5.1,LBX,26.98,R,1995,Drama,2.35:1,2293
172,Cat On A Hot Tin Roof (1958),MGM/UA,Discontinued,1,"4:3, LBX, 16:9",24.98,NR,1958,Drama,1.85:1,1539
173,Cat On A Hot Tin Roof (Warner),Warner Brothers,Out,1,"4:3, LBX, 16:9",24.98,NR,1958,Drama,1.85:1,2023
174,Cats (Universal),Universal,Out,5.1,LBX,29.98,NR,1998,Musical,1.78:1,1626
175,Chamber,Universal,Out,5.1,"LBX, 16:9",26.98,R,1996,Drama,2.35:1,2020
176,Chariots Of Fire,Warner Brothers,Out,SUR,4:03,24.98,PG,1981,Drama,1.33:1,2231
177,Child's Play,MGM/UA,Out,2,4:03,19.98,R,1988,Horror,1.33:1,1455
178,Child's Play 2: Chucky's Back,Universal,Out,SUR,"LBX, 16:9",24.98,R,1990,Horror,1.85:1,1781
179,Chill Factor: Special Edition,Warner Brothers,Out,5.1,LBX,19.98,R,1999,Action/Adventure,1.85:1,1483
180,Chinatown,Paramount,Out,5.1,"LBX, 16:9",29.99,R,1974,Mystery/Suspense,2.35:1,2169
181,Chitty Chitty Bang Bang,MGM/UA,Out,5.1,4:03,24.98,G,1968,Family,1.33:1,1501
182,Christmas Story (MGM/UA),MGM/UA,Discontinued,1,4:03,24.98,PG,1984,Comedy,1.33:1,29
183,Christmas Story (Warner),Warner Brothers,Out,1,4:03,19.98,PG,1984,Comedy,1.85:1,1199
184,Circuit 1:1,Warner Brothers,Out,5.1,4:03,14.98,NR,1999,Music,1.33:1,24
185,Circuit 1:2,Warner Brothers,Out,5.1,4:03,14.98,NR,1999,Music,1.33:1,1328
186,Circuit 1:3,Warner Brothers,Out,5.1,LBX,14.98,NR,1999,Music,1.85:1,108
187,Circuit 1:4,Warner Brothers,Out,SUR,"4:3, LBX, 16:9",14.98,NR,1999,Music,VAR,203
188,Circuit 1:5,Warner Brothers,Out,5.1,4:03,14.98,NR,2000,Music,1.33:1,367
189,Circuit 6,Warner Brothers,Out,5.1,"4:3, LBX",14.98,NR,2000,Music,1.33:1,2171
190,City Hall,Warner Brothers,Out,SUR,"4:3, LBX, 16:9",19.98,R,1996,Drama,1.85:1,1404
191,City Of Angels: Special Edition,Warner Brothers,Out,5.1,"LBX, 16:9",24.98,PG-13,1998,Drama,2.35:1,1056
192,Clan Of The Cave Bear,Warner Brothers,Out,SUR,"4:3, LBX, 16:9",19.98,R,1986,Drama,2.35:1,2127
193,Classic Steve Martin,Universal,Out,1,"4:3, LBX",59.98,R,1973,Comedy,VAR,2054
194,Clean And Sober,Warner Brothers,Out,SUR,4:03,14.98,R,1988,Drama,1.33:1,2269
195,Clear And Present Danger,Paramount,Out,5.1,LBX,29.99,PG-13,1994,Mystery/Suspense,2.35:1,1250
196,Cleopatra Jones,Warner Brothers,Out,1,"LBX, 16:9",14.98,PG,1973,Action/Adventure,2.35:1,352
197,Client,Warner Brothers,Out,SUR,"4:3, LBX, 16:9",24.98,PG-13,1994,Drama,2.35:1,571
198,Clockers,Universal,Out,5.1,"LBX, 16:9",24.98,R,1995,Drama,1.85:1,1648
199,Clockwork Orange,Warner Brothers,Discontinued,1,LBX,24.98,R,1971,SciFi,1.66:1,1541
200,Clue,Paramount,Out,1,"LBX, 16:9",29.99,PG,1985,Comedy,1.78:1,2117
201,Clueless,Paramount,Out,5.1,"LBX, 16:9",29.99,PG-13,1995,Comedy,1.85:1,1723
202,CNN Millennium 2000: Incredible Moments From The Celebration,Warner Brothers,Out,2,4:03,19.99,NR,2000,Documentary,1.33:1,863
203,Cobra (1986),Warner Brothers,Out,5.1,"4:3, LBX, 16:9",19.98,R,1986,Action/Adventure,1.85:1,2138
204,Color Purple,Warner Brothers,Out,5.1,"LBX, 16:9",24.98,PG-13,1985,Drama,1.85:1,500
205,Coma,Warner Brothers,Out,1,LBX,19.98,PG,1978,Mystery/Suspense,1.85:1,1959
206,Coming To America,Paramount,Out,5.1,LBX,29.99,R,1988,Comedy,1.85:1,993
