ID,Title,Studio,Status,Sound,Versions,RecRetPrice,Rating,Year,Genre,Aspect,Rank
1816,Watcher,Universal,Out,5.1,"LBX, 16:9",26.98,R,2000,Horror,1.85:1,1837
1817,Wonderland,Universal,Out,5.1,"LBX, 16:9",24.98,R,1999,Drama,2.35:1,615
1818,Tomorrow Never Dies: Collector's Edition,MGM/UA,Discontinued,5.1,"LBX, 16:9",34.98,PG-13,1997,Action/Comedy,2.35:1,399
1819,Oliver Stone Collection 10-Pack: Special Edition,Warner Brothers,Out,VAR,VAR,276.45,R,1971,Drama,1.85:1,1687
1820,Get Carter: Special Edition,Warner Brothers,Out,5.1,"LBX, 16:9",19.98,R,2000,Action/Adventure,2.35:1,777
1821,Lost Souls: Special Edition,New Line,Out,5.1/DTS,"LBX, 16:9",24.98,R,2000,Horror,2.40:1,425
1822,Madonna: The Immaculate Collection,Warner Music,Out,2,4:03,24.99,NR,1991,Music,1.33:1,997
1823,Madonna: The Video Collection 93:99,Warner Music,Out,PCM,4:03,24.99,NR,1975,Music,1.33:1,966
1824,B.B. King: Blues Summit,Universal,Out,5.1,4:03,19.98,NR,1993,Music,1.33:1,865
1825,Lucky Numbers: Special Edition,Paramount,Out,5.1,"LBX, 16:9",29.99,R,2000,Comedy,1.78:1,2105
1826,Mo' Better Blues,Universal,Out,SUR,"LBX, 16:9",24.98,R,1990,Drama,1.78:1,1767
1827,Playboy Red Hot Redheads,Universal,Discontinued,2,4:03,24.98,UR,2000,Late Night,1.33:1,208
1828,Roadshow: Misty Rain,Universal,Out,2,4:03,24.98,UR,2000,Late Night,1.33:1,866
1829,Spike Lee Collection: Crooklyn/ Jungle Fever/ Mo' Better Blues,Universal,Out,2,"LBX, 16:9",64.98,R,1973,Comedy/Drama,1.85:1,569
1830,Jesus Christ Superstar (2000),Universal,Out,SUR,4:03,29.98,G,2000,Musical,1.33:1,449
1831,Little Vampire,New Line,Out,5.1,"4:3 P&S, LBX",24.98,PG,2000,Family,1.85:1,1336
1832,Old Man And The Sea,Warner Brothers,Out,1,"4:3 P&S, LBX, 16:9",19.98,NR,1958,Drama,1.85:1,1646
1833,Scooby Doo And The Witch's Ghost,Warner Brothers,Out,1,4:03,19.98,NR,1999,Animation,1.33:1,441
1834,Scooby Doo On Zombie Island,Warner Brothers,Out,1,4:03,19.98,NR,1998,Animation,1.33:1,698
1835,Adjuster,MGM/UA,Out,2,"LBX, 16:9",19.98,R,1992,Drama,1.85:1,672
1836,Boxing Helena,MGM/UA,Out,2,"LBX, 16:9",19.98,UR,1993,Drama,1.85:1,1852
1837,Fellini Satyricon,MGM/UA,Out,1,"LBX, 16:9",19.98,R,1968,Drama,2.35:1,1057
1838,Fellini's Roma,MGM/UA,Out,1,LBX,19.98,R,1972,Drama,1.66:1,619
1839,How I Won The War,MGM/UA,Postponed,1,"4:3, LBX, 16:9",19.98,NR,1967,Comedy,1.66:1,1103
1840,King Of Heart,MGM/UA,Out,1,LBX,19.98,NR,1967,Comedy,2.35:1,91
1841,Live Flesh,MGM/UA,Out,5.1,"LBX, 16:9",19.98,R,1997,Drama,2.35:1,93
1842,Mach 2: Special Edition,Paramount,Out,5.1,"LBX, 16:9",29.98,R,2001,Action/Adventure,1.78:1,359
1843,Playboy Best Of Pamela Anderson (Universal),Universal,Discontinued,2,4:03,24.98,UR,1995,Late Night,1.33:1,1936
1844,Playboy Girlfriends #1 (Universal),Universal,Discontinued,2,4:03,24.98,UR,1998,Late Night,1.33:1,1124
1845,Playboy Girlfriends #2 (Universal),Universal,Discontinued,2,4:03,24.98,UR,1999,Late Night,1.33:1,1028
1846,Playboy Real Couples: Sex In Dangerous Places (Universal),Universal,Discontinued,2,4:03,24.98,UR,1995,Late Night,1.33:1,1186
1847,Rocky: Special Edition,MGM/UA,Out,5.1,"LBX, 16:9",24.98,PG,1976,Drama,1.85:1,1101
1848,Rocky Gift Set: Rocky 1-5,MGM/UA,Out,5.1,"LBX, 16:9",89.98,PG,1976,Drama,1.85:1,2257
1849,Tank Girl,MGM/UA,Out,5.1,"LBX, 16:9",19.98,R,1995,SciFi,2.35:1,353
1850,Women On The Verge Of A Nervous Breakdown,MGM/UA,Out,DUB,"LBX, 16:9",19.98,R,1988,Comedy,1.85:1,801
1851,Tom Petty: Playback,Universal,Out,2,4:03,19.98,NR,1995,Music,1.33:1,700
1852,Dancer In The Dark,New Line,Out,SUR,LBX,24.98,R,2000,Drama,2.40:1,905
1853,Red Planet,Warner Brothers,Out,5.1,"4:3, LBX, 16:9",19.98,PG-13,2000,SciFi,1.85:1,1419
1854,Bix Beiderbeck: Ain't None Of Them Play Like Him Yet,Universal,Out,2,4:03,24.98,NR,1981,Music,1.33:1,1737
1855,Election 2000: CNN,Warner Brothers,Out,2,4:03,19.98,NR,2000,Special Interest,1.33:1,1826
1856,Playboy 2000 Playmate Calendar,Universal,Discontinued,2,4:03,24.98,UR,1999,Late Night,1.33:1,887
1857,Playboy Asian Exotica,Universal,Discontinued,2,4:03,24.98,UR,1998,Late Night,1.33:1,562
1858,Hendrix,MGM/UA,Out,2,4:03,24.98,NR,2000,Drama,1.33:1,1902
1859,Playboy Best Of Jenny McCarthy,Universal,Discontinued,2,4:03,24.98,UR,1996,Late Night,1.33:1,1409
1860,Playboy Freshman Class,Universal,Discontinued,2,4:03,24.98,UR,1998,Late Night,1.33:1,1160
1861,Amos And Andrew,MGM/UA,Out,2,4:03,14.95,PG,1993,Comedy,1.33:1,1773
1862,Apache,MGM/UA,Out,1,4:03,19.98,NR,1954,Western,1.33:1,1466
1863,Blame It On Rio,MGM/UA,Out,2,4:03,14.95,R,1984,Comedy,1.33:1,1668
1864,Bon Jovi: The Crush Tour,Universal,Out,2,4:03,24.98,NR,1977,Music,1.33:1,2143
1865,"Buffalo Bill And The Indians, Or Sitting Bull's History Lesson",MGM/UA,Out,2,4:03,19.98,NR,1976,Comedy,1.33:1,1719
1866,Canadian Bacon,MGM/UA,Out,SUR,4:03,14.95,PG,1995,Comedy,1.33:1,110
1867,City Slickers,MGM/UA,Out,SUR,LBX,19.98,PG-13,1991,Comedy,1.85:1,1550
1868,Coneheads,Paramount,Out,SUR,LBX,29.99,PG,1993,Comedy,1.85:1,963
1869,Eight Men Out,MGM/UA,Out,1,4:03,19.98,PG,1988,Drama,1.33:1,1093
1870,Family Thing,MGM/UA,Out,2,4:03,19.98,PG-13,1996,Drama,1.33:1,1661
1871,Frankie And Johnny,MGM/UA,Out,2,4:03,14.95,NR,1966,Musical,1.33:1,1415
1872,Ghost (Special Edition),Paramount,Out,2,LBX,29.99,PG-13,1990,Fantasy,1.85:1,2069
1873,Home Of Our Own,MGM/UA,Out,2,4:03,14.95,PG,1993,Drama,1.33:1,2081
1874,Horse Soldiers,MGM/UA,Out,1,4:03,19.98,NR,1959,Western,1.33:1,1957
1875,Kentuckian,MGM/UA,Out,1,4:03,19.98,NR,1955,Western,1.33:1,1911
1876,Ladies Man,Paramount,Out,SUR,LBX,29.99,R,2000,Comedy,1.85:1,1498
1877,Love Story (Special Edition),Paramount,Out,SUR,LBX,29.99,PG,1970,Drama,1.85:1,1281
1878,Magnificent Seven (Special Edition),MGM/UA,Out,2,LBX,19.98,NR,1960,Western,2.35:1,1473
1879,Mean Season,MGM/UA,Out,2,4:03,14.95,R,1985,Drama,1.33:1,506
1880,Mississippi Burning (Special Edition),MGM/UA,Out,SUR,LBX,19.98,R,1988,Drama,1.85:1,350
1881,Paul Simon: You're The One: In Concert From Paris,Warner Music,Out,2,4:03,24.98,NR,2000,Music,1.33:1,1330
1882,Pope Of Greenwich Village,MGM/UA,Out,SUR,4:03,19.98,R,1984,Drama,1.33:1,874
1883,Posse,MGM/UA,Out,2,4:03,14.95,R,1993,Western,1.33:1,2210
1884,Return Of The Magnificent Seven,MGM/UA,Out,2,4:03,19.98,PG,1966,Western,1.33:1,1311
1885,Rugrats In Paris: The Movie,Paramount,Out,5.1,"LBX, 16:9",29.99,G,2000,Animation,1.78:1,312
1886,Semi-Tough,MGM/UA,Out,SUR,4:03,19.98,R,1978,Comedy,1.33:1,1710
1887,Shag: The Movie,MGM/UA,Out,2,4:03,14.95,PG,1989,Comedy,1.33:1,1660
1888,Some Like It Hot (Movie-Only Edition),MGM/UA,Out,1,LBX,14.95,NR,1959,Comedy,1.66:1,618
1889,Some Like It Hot (Special Edition),MGM/UA,Out,1,LBX,24.98,NR,1959,Comedy,1.66:1,1035
1890,Southern Comfort,MGM/UA,Out,2,4:03,14.95,R,1981,Action/Adventure,1.33:1,2140
1891,"Star Trek TV #21: I, Mudd/ The Trouble With Tribbles",Paramount,Out,1,4:03,19.99,NR,1967,TV Classics,1.33:1,1047
1892,Star Trek TV #22: Bread And Circuses/ Journey To Babel,Paramount,Out,1,4:03,19.99,NR,1967,TV Classics,1.33:1,851
1893,Stargate SG-1: Season #1,MGM/UA,Out,SUR,4:03,89.96,NR,1997,TV Classics,1.33:1,1000
1894,Stuart Saves His Family,Paramount,Out,2,4:03,29.98,PG-13,1997,Comedy,1.33:1,976
1895,Summer Rental,Paramount,Out,2,4:03,29.99,PG,1985,Comedy,1.33:1,1605
1896,Throw Momma From The Train,MGM/UA,Out,2,4:03,19.98,PG-13,1987,Comedy,1.33:1,1607
1897,Turn It Up,New Line,Out,5.1,LBX,24.98,R,2000,Drama,1.85:1,394
1898,Westerner,MGM/UA,Cancelled,1,4:03,19.98,NR,1940,Western,1.33:1,55
1899,Winter People,MGM/UA,Out,2,4:03,14.95,PG-13,1989,Drama,1.33:1,89
1900,Youngblood,MGM/UA,Out,2,4:03,14.95,R,1986,Drama,1.33:1,580
1901,Bamboozled (Special Edition),New Line,Out,5.1,LBX,24.98,R,2000,Comedy,1.85:1,163
1902,Blackadder #1,Warner Brothers,Out,1,4:03,24.98,NR,1983,TV Classics,1.33:1,295
1903,Blackadder #2,Warner Brothers,Out,1,4:03,24.98,NR,1986,TV Classics,1.33:1,204
1904,Blackadder #3: Blackadder The Third,Warner Brothers,Out,1,4:03,24.98,NR,1987,TV Classics,1.33:1,1614
1905,Blackadder #4: Blackadder Goes Forth,Warner Brothers,Out,1,4:03,24.98,NR,1989,TV Classics,1.33:1,1478
1906,Blackadder #5: Blackadder Back And Forth,Warner Brothers,Out,1,4:03,24.98,NR,1999,TV Classics,1.33:1,825
1907,Blackadder: The Complete Collector's Set,Warner Brothers,Out,1,4:03,24.98,NR,1970,TV Classics,1.33:1,729
1908,Complete Superman Collection,Warner Brothers,Out,5.1,"LBX, 16:9",79.92,PG,1971,Fantasy,2.35:1,1288
1909,Father Ted: The Compete Series #1,Warner Brothers,Out,1,4:03,29.98,NR,1995,TV Classics,1.33:1,897
1910,Little Nicky (Special Edition),New Line,Out,5.1,LBX,24.98,PG-13,2000,Comedy,1.85:1,205
1911,Loving Jezebel,Universal,Out,SUR,"LBX, 16:9",24.98,R,1999,Comedy,1.85:1,471
1912,Mummy: The Ultimate Edition (Special Edition/ 1999),Universal,Out,5.1/DTS,"LBX, 16:9",29.98,PG-13,1999,Action/Adventure,2.35:1,2150
1913,Rio Bravo,Warner Brothers,Out,1,"LBX, 16:9",19.98,NR,1969,Western,1.85:1,1760
1914,Superman 2,Warner Brothers,Out,SUR,"LBX, 16:9",19.98,PG,1980,Fantasy,2.35:1,1972
1915,Superman 3,Warner Brothers,Out,SUR,"LBX, 16:9",19.98,PG,1983,Fantasy,2.35:1,1102
1916,Superman 4: The Quest For Peace,Warner Brothers,Out,SUR,"LBX, 16:9",19.98,PG,1987,Fantasy,2.35:1,472
1917,Superman: The Movie (Special Edition),Warner Brothers,Out,5.1,"LBX, 16:9",24.98,PG,1978,Fantasy,2.35:1,1920
1918,Stargate SG-1 #2,MGM/UA,Out,2,"LBX, 16:9",14.95,NR,1997,TV Classics,1.77:1,116
1919,Return With Honor,Warner Brothers,Out,1,4:03,19.98,NR,1998,Special Interest,1.33:1,227
1920,Allosaurus: A Walking With Dinosaurs Special,Warner Brothers,Out,2,4:03,14.98,NR,2001,Special Interest,1.33:1,179
1921,Foreigner: Foreigner (DVD-Audio),Warner Music,Out,5.1,4:03,24.98,NR,1977,Music,1.33:1,224
1922,Metallica: Metallica (DVD-Audio),Warner Music,Out,5.1,4:03,24.98,NR,1991,Music,1.33:1,1146
1923,Olu Dara: Neighborhoods (DVD-Audio),Warner Music,Out,5.1,4:03,24.98,NR,2001,Music,1.33:1,173
1924,Playboy Celebrities,Universal,Discontinued,2,4:03,24.98,UR,1999,Late Night,1.33:1,1928
1925,Playboy Club Lingerie,Universal,Discontinued,2,4:03,24.98,UR,1999,Late Night,1.33:1,1925
1926,Playboy Playmates On The Catwalk,Universal,Discontinued,2,4:03,24.98,UR,2001,Late Night,1.33:1,2213
1927,Playboy Sexcetera,Universal,Discontinued,2,4:03,24.98,UR,2000,Late Night,1.33:1,1375
1928,Playboy Tales Of Erotic Fantasies,Universal,Discontinued,2,4:03,24.98,UR,1999,Late Night,1.33:1,2156
1929,Playboy Voluptuous Vixens #1,Universal,Discontinued,2,4:03,24.98,UR,1997,Late Night,1.33:1,13
1930,Wives And Daughters,Warner Brothers,Out,2,4:03,59.98,NR,2001,Drama,1.33:1,164
1931,Funny Face,Paramount,Out,5.1,"LBX, 16:9",29.99,NR,1957,Musical,2.00:1,1345
1932,Paris When It Sizzles,Paramount,Out,1,"LBX, 16:9",29,NR,1964,Comedy,1.85:1,215
1933,Sabrina,Paramount,Out,1,4:03,29.99,NR,1954,Comedy,1.33:1,718
1934,Miss Congeniality (Special Edition),Warner Brothers,Out,5.1,"LBX, 16:9",26.98,PG-13,2000,Comedy,1.85:1,586
1935,Space Cowboys,Warner Brothers,Out,5.1,"LBX, 16:9",26.98,PG-13,2000,SciFi,1.85:1,60
1936,Circuit #9,Warner Music,Out,5.1,4:03,14.98,NR,2001,Music,1.33:1,2031
1937,Playboy Centerfold: Bernaola Twins: 2000 Playmate Of The Year,Universal,Discontinued,2,4:03,24.98,UR,1999,Late Night,1.33:1,1284
1938,Playboy Girls Next Door: Naughty And Nice,Universal,Discontinued,2,4:03,24.98,UR,1997,Late Night,1.33:1,1700
1939,Playboy Playmate Erotic Adventures,Universal,Discontinued,2,4:03,24.98,UR,1999,Late Night,1.33:1,2189
1940,Secrets Of Magic: Lance Burton,Warner Music,Out,2,4:03,19.99,NR,2001,Special Interest,1.33:1,561
1941,AC/DC: No Bull,Warner Music,Out,5,4:03,24.99,NR,1996,Music,1.33:1,2136
1942,Alice Cooper: Billion Dollar Babies (DVD-Audio),Warner Music,Out,5.1,4:03,24.98,NR,1973,Music,1.33:1,1960
1943,American Pie (Special Edition/ Unrated Version)/ Half Baked,Universal,Out,VAR,VAR,34.98,VAR,1975,Comedy,VAR,139
1944,Babe (Dolby Digital)/ Babe: Pig In The City,Universal,Out,VAR,VAR,34.98,G,1977,Family,VAR,2083
1945,Liar Liar (Special Edition/ Dolby Digital)/ Ed-TV (Special Edition/ Dolby Digital),Universal,Out,VAR,VAR,34.98,PG-13,1971,Comedy,VAR,1678
1946,End Of Days/ Virus (Special Edition/ Dolby Digital),Universal,Out,5.1,"LBX, 16:9",34.98,R,1999,SciFi,2.35:1,1587
1947,Erin Brockovich/ Primary Colors,Universal,Out,5.1,"LBX, 16:9",34.98,R,1977,Comedy,2.35:1,1158
1948,Playboy Playmates Bustin' Out,Universal,Discontinued,2,4:03,24.98,UR,2000,Late Night,1.33:1,1589
1949,Deep Core,Paramount,Out,5.1,4:03,29.99,PG-13,2001,SciFi,1.33:1,3
1950,Mommie Dearest,Paramount,Out,5.1,"LBX, 16:9",29.99,PG,1981,Drama,1.85:1,1262
1951,Place In The Sun (Special Edition),Paramount,Out,5.1,4:03,29.99,NR,1951,Drama,1.33:1,1967
1952,Pledge,Warner Brothers,Out,5.1,"LBX, 16:9",24.98,R,2001,Mystery/Suspense,2.35:1,1922
1953,Proof Of Life (Special Edition),Warner Brothers,Out,5.1,"LBX, 16:9",24.98,R,2001,Action/Adventure,2.35:1,187
1954,Star Trek TV #27: The Ultimate Computer/ The Omega Glory,Paramount,Out,1,4:03,19.99,NR,1968,TV Classics,1.33:1,476
1955,Star Trek TV #28: Assignment Earth/ Spectre Of The Gun,Paramount,Out,1,4:03,19.99,NR,1968,TV Classics,1.33:1,1823
1956,State And Main (Special Edition),New Line,Out,5.1,"4:3 P&S, LBX",24.98,R,2000,Comedy,1.85:1,2142
1957,Austin Blues #1: Song Xpress,Warner Music,Out,2,4:03,19.99,NR,1976,Special Interest,1.33:1,1596
1958,Bach: Organ Spectacular: Ton Koopman (DVD-Audio),Warner Music,Out,5.1,4:03,24.98,NR,1979,Music,1.33:1,1954
1959,Classic Blues #1: Song Xpress,Warner Music,Out,2,4:03,19.99,NR,1977,Special Interest,1.33:1,1423
1960,Classic Rock #3: Song Xpress,Warner Music,Out,2,4:03,19.99,NR,1975,Special Interest,1.33:1,626
1961,Classic Surf #1: Song Xpress,Warner Music,Out,2,4:03,19.99,NR,1974,Special Interest,1.33:1,884
1962,Dvorak: Symphony 9: From The New World: Harnoncourt (DVD-Audio),Warner Music,Out,5.1,4:03,24.98,NR,1979,Music,1.33:1,2197
1963,Fourplay: Fourplay (DVD-Audio),Warner Music,Out,5.1,4:03,24.98,NR,1979,Music,1.33:1,79
1964,Luis Miguel: Romances (DVD-Audio),Warner Music,Out,5.1,4:03,24.98,NR,2001,Music,1.33:1,1272
1965,"Missy ""Misdemeanor"" Elliott: Hits Of Miss E: The Videos #1",Warner Music,Out,5.1,4:03,14.99,NR,2001,Music,1.33:1,1618
1966,Modern Rock #1: Song Xpress,Warner Music,Out,2,4:03,19.99,NR,1970,Special Interest,1.33:1,239
1967,Party Tunes #1: Song Xpress,Warner Music,Out,2,4:03,19.99,NR,1979,Special Interest,1.33:1,125
1968,Down To Earth,Paramount,Out,5.1,"LBX, 16:9",29.99,PG-13,2001,Comedy,1.85:1,733
1969,Gift,Paramount,Out,5.1,"LBX, 16:9",29.99,R,2000,Mystery/Suspense,1.85:1,1361
1970,Wayne's World (Special Edition),Paramount,Out,5.1,"LBX, 16:9",24.99,PG-13,1992,Comedy,1.85:1,375
1971,Wayne's World 1 & 2: The Complete Epic (Special Edition),Paramount,Out,5.1,"LBX, 16:9",49.98,PG-13,1971,Comedy,1.85:1,2137
1972,Wayne's World 2 (Special Edition),Paramount,Out,5.1,"LBX, 16:9",24.98,PG-13,1993,Comedy,1.85:1,581
1973,Any Given Sunday (Special Edition),Warner Brothers,Out,5.1,"LBX, 16:9",24.98,R,1999,Drama,2.35:1,879
1974,Mishima: A Life In Four Chapters,Warner Brothers,Out,DUB,"LBX, 16:9",19.98,R,1985,Drama,1.85:1,1734
1975,Sugar And Spice,New Line,Out,SUR,"4:3 P&S, LBX",24.98,PG-13,2001,Comedy,2.35:1,511
1976,Thirteen Days (Special Edition),New Line,Out,5.1,LBX,26.98,PG-13,2001,Drama,1.85:1,1025
1977,Get Carter: Special Edition,Warner Brothers,Out,1,"LBX, 16:9",24.95,R,1971,Mystery/Suspense,1.85:1,259
1978,Caveman's Valentine,Universal,Out,5.1/DTS,"LBX, 16:9",26.98,R,2001,Mystery/Suspense,1.85:1,35
1979,Family Man (Special Edition),Universal,Out,5.1/DTS,"LBX, 16:9",26.98,PG-13,2000,Comedy,2.35:1,463
1980,Goonies (Special Edition),Warner Brothers,Out,2,4:03,24.98,PG,1985,Action/Adventure,1.33:1,1508
1981,Head Over Heels,Universal,Out,5.1/DTS,"LBX, 16:9",26.98,PG-13,2001,Comedy,2.35:1,1108
1982,Meet Joe Black: The Ultimate Edition (Special Edition),Universal,Out,5.1/DTS,"LBX, 16:9",29.98,PG-13,1998,Drama,1.85:1,2073
1983,Notting Hill: The Ultimate Edition (Special Edition),Universal,Out,5.1/DTS,"LBX, 16:9",29.98,PG-13,1999,Comedy,2.35:1,1217
1984,Patch Adams: The Ultimate Edition (Special Edition),Universal,Out,5.0/DTS 5.0,"LBX, 16:9",29.98,PG-13,1998,Comedy,2.35:1,819
1985,Scooby Doo's Spookiest Tales,Warner Brothers,Out,1,4:03,19.98,NR,1979,Animation,1.33:1,390
1986,Playboy American Beauties: Sexy Girls Next Door,Universal,Discontinued,2,4:03,24.98,UR,2001,Late Night,1.33:1,446
1987,T-Rex: Back To The Cretaceous: IMAX,Warner Brothers,Out,5.1,4:03,19.98,NR,1998,Special Interest,1.33:1,2070
1988,Hatari!,Paramount,Out,1,"LBX, 16:9",29.99,NR,1962,Action/Adventure,1.85:1,1494
1989,Nightbreed,Warner Brothers,Out,5.1,"LBX, 16:9",19.98,R,1990,Horror,1.85:1,2270
1990,Paint Your Wagon,Paramount,Out,5.1,"LBX, 16:9",29.99,PG-13,1969,Musical,2.35:1,1882
1991,Shootist,Paramount,Out,1,"LBX, 16:9",29.99,PG,1976,Western,1.85:1,703
1992,Audrey Rose,MGM/UA,Out,1,LBX,14.95,PG,1977,Horror,1.85:1,2239
1993,Beast Within,MGM/UA,Out,2,"LBX, 16:9",14.95,R,1981,Horror,2.35:1,1771
1994,Blow Out,MGM/UA,Out,2,"4:3 P&S, LBX, 16:9",19.98,R,1981,Mystery/Suspense,2.35:1,1363
1995,Breeders,MGM/UA,Out,1,"LBX, 16:9",14.95,R,1986,Horror,1.85:1,419
1996,Candyman 2: Farewell To The Flesh,MGM/UA,Out,2,LBX,14.95,R,1995,Horror,1.85:1,2214
1997,Carrie (Special Edition),MGM/UA,Out,5.1,"LBX, 16:9",19.98,R,1976,Horror,1.85:1,1748
1998,"Count Yorga, Vampire",MGM/UA,Out,1,"LBX, 16:9",14.95,PG-13,1970,Horror,1.85:1,423
1999,Crossfire Trail,Warner Brothers,Out,SUR,4:03,19.98,NR,2001,Western,1.33:1,124
2000,Dressed To Kill (Special Edition),MGM/UA,Out,5.1,"LBX, 16:9",19.98,R,1980,Mystery/Suspense,2.35:1,2052
2001,Dunwich Horror,MGM/UA,Out,2,"LBX, 16:9",14.95,R,1970,Horror,1.85:1,737
2002,First Power,MGM/UA,Out,2,"LBX, 16:9",14.95,R,1990,Horror,1.85:1,1637
2003,Haunted Honeymoon,MGM/UA,Out,2,"LBX, 16:9",14.95,PG,1986,Comedy,1.85:1,1943
2004,Howling,MGM/UA,Out,2,"LBX, 16:9",14.95,R,1980,Horror,1.85:1,1600
2005,Invaders From Mars (1986),MGM/UA,Out,2,"LBX, 16:9",19.99,PG,1986,SciFi,2.35:1,1593
2006,Island Of Dr. Moreau (1977),MGM/UA,Out,1,"LBX, 16:9",14.95,PG,1977,Horror,1.85:1,942
2007,It! The Terror From Beyond Space,MGM/UA,Out,1,4:03,14.95,NR,1958,SciFi,1.33:1,1627
2008,Killer Klowns From Outer Space (Special Edition),MGM/UA,Out,2,"LBX, 16:9",14.95,PG-13,1988,Horror,1.85:1,1846
2009,Mars Needs Women,MGM/UA,Out,2,4:03,14.95,NR,1968,SciFi,1.33:1,604
2010,Monster That Challenged The World,MGM/UA,Out,1,4:03,14.95,G,1957,SciFi,1.33:1,278
2011,Planet Of The Vampires,MGM/UA,Out,1,LBX,14.96,NR,1965,Horror,1.85:1,1301
2012,Reptilicus,MGM/UA,Out,1,4:03,14.95,NR,1962,SciFi,1.33:1,1611
2013,Scanners,MGM/UA,Out,1,"LBX, 16:9",14.95,R,1980,Horror,1.85:1,1403
2014,Sweet November,Warner Brothers,Out,5.1,"LBX, 16:9",24.98,PG-13,2001,Drama,1.85:1,379
2015,Theatre Of Blood,MGM/UA,Out,1,LBX,14.95,R,1973,Horror,1.66:1,908
2016,Valentine (Special Edition),Warner Brothers,Out,5.1,"LBX, 16:9",24.98,R,2001,Horror,2.35:1,602
2017,Twice Told Tales,MGM/UA,Out,1,LBX,14.95,NR,1963,Horror,1.66:1,574
2018,Things You Can Tell Just By Looking At Her,MGM/UA,Out,5.1,"4:3 P&S, LBX, 16:9",26.98,PG-13,2000,Drama,1.85:1,972
2019,Gremlins,Warner Brothers,Out,5.1,"4:3 P&S, LBX, 16:9",19.99,PG,1984,Comedy,1.85:1,1896
2020,John Waters Collection #1: Hairspray/ Pecker (Special Edition),New Line,Out,5.1,LBX,30.98,R,1970,Comedy,1.85:1,928
2021,Forrest Gump (Special Edition),Paramount,Out,5.1,"LBX, 16:9",29.98,PG-13,1994,Comedy/Drama,2.35:1,255
2022,Nuremberg,Warner Brothers,Out,SUR,"4:3, LBX, 16:9",19.98,NR,2000,Drama,1.66:1,553
2023,Air Rage (Special Edition),Paramount,Out,5.1,"LBX, 16:9",29.99,R,2001,Action/Adventure,1.85:1,269
2024,Alice Cooper: Welcome To My Nightmare (DVD-Audio),Warner Music,Out,5.1,4:03,24.98,NR,1975,Music,1.33:1,245
2025,Funeral In Berlin,Paramount,Out,1,"LBX, 16:9",29.99,NR,1966,Mystery/Suspense,2.35:1,1966
2026,Hitters On Hitting: Finding The Sweet Spot: Major League Baseball,Warner Music,Out,2,4:03,19.95,NR,2001,Music,1.33:1,1451
2027,Hunter,Paramount,Out,1,"LBX, 16:9",29.99,NR,1980,Drama,1.85:1,1020
2028,Mahler: Symphony 3 In D Minor: Kent Nagano,Warner Music,Out,5.1,4:03,49.98,NR,1975,Music,1.33:1,80
2029,Star Trek TV #29: Elaan Of Troyius/ The Paradise Syndrome,Paramount,Out,5.1,4:03,19.99,NR,1968,TV Classics,1.33:1,1924
2030,Star Trek TV #30: The Enterprise Incident/ And The Children Shall Lead,Paramount,Out,5.1,4:03,19.99,NR,1968,TV Classics,1.33:1,1450
2031,Hannibal (Special Edition),MGM/UA,Out,5.1/DTS,"LBX, 16:9",29.98,R,2001,Horror,1.85:1,1082
2032,Silence Of The Lambs (Special Edition/ Pan & Scan),MGM/UA,Out,5.1,4:3 P&S,24.98,R,1991,Horror,1.33:1,780
2033,Silence Of The Lambs (Special Edition/ Widescreen),MGM/UA,Out,5.1,"LBX, 16:9",24.98,R,1991,Horror,1.85:1,949
2034,Human Face,Warner Brothers,Out,2,4:03,34.98,NR,2001,Special Interest,1.33:1,1551
2035,Elizabeth R,Warner Brothers,Pending,2,4:3 P&S,99.98,NR,1971,Drama,1.33:1,429
2036,Fawlty Towers #1,Warner Brothers,Pending,2,4:03,24.98,NR,1975,TV Classics,1.33:1,1786
2037,Fawlty Towers #2,Warner Brothers,Pending,2,4:03,24.98,NR,1975,TV Classics,1.33:1,930
2038,Fawlty Towers #3,Warner Brothers,Pending,2,4:03,24.98,NR,1975,TV Classics,1.33:1,1038
2039,Fawlty Towers: The Complete Collection,Warner Brothers,Pending,2,4:03,59.98,NR,1975,TV Classics,1.33:1,1712
2040,Robbie The Reindeer,Warner Brothers,Pending,2,4:3 P&S,14.98,NR,1999,Animation,1.33:1,860
2041,Teletubbies: Baby Animals,Warner Brothers,Out,2,4:03,19.98,NR,2001,Family,1.33:1,535
2042,Waiting For Guffman (Special Edition),Warner Brothers,Out,2,LBX,19.98,R,1996,Comedy,1.85:1,25
2043,Incredible Adventures Of Wallace And Gromit,Warner Brothers,Pending,2,4:03,24.98,NR,1975,Animation,1.33:1,87
2044,Abbott And Costello Meet The Mummy,Universal,Out,1,4:03,24.98,NR,1955,Comedy,1.33:1,813
2045,Classic Monsters: The Definitive Collection 3-Pack (Special Edition),Universal,Out,1,4:03,69.98,NR,1977,Horror,1.33:1,1586
2046,Dracula's Daughter/ Son Of Dracula,Universal,Out,1,4:03,29.98,NR,1979,Horror,1.33:1,855
2047,Frankenstein Meets The Wolf Man/ House Of Frankenstein,Universal,Out,1,4:03,29.98,NR,1978,Horror,1.33:1,4
2048,Mummy's Ghost/ The Mummy's Curse,Universal,Out,1,4:03,29.98,NR,1944,Horror,1.33:1,596
2049,Mummy's Hand/ The Mummy's Tomb,Universal,Out,1,4:03,29.98,NR,1976,Horror,1.33:1,106
